Burnup (GWd/MTIHM),Off-gas Eff: 0,Off-gas Eff: 5,Off-gas Eff: 10,Off-gas Eff: 15,Off-gas Eff: 20,Off-gas Eff: 40,Off-gas Eff: 60,Off-gas Eff: 80,Off-gas Eff: 100,Eff: 0 pcm,Eff: 5 pcm,Eff: 10 pcm,Eff: 15 pcm,Eff: 20 pcm,Eff: 40 pcm,Eff: 60 pcm,Eff: 80 pcm,Eff: 100 pcm,5-0,10-0,15-0,20-0,40-0,60-0,80-0,100-0,10-5,15-5,20-5,40-5,60-5,80-5,100-5
0.0,1.62502328,1.62502328,1.62502328,1.62502328,1.62502328,1.62502328,1.62502328,1.62502328,1.62502328,38462.420058376025,38462.420058376025,38462.420058376025,38462.420058376025,38462.420058376025,38462.420058376025,38462.420058376025,38462.420058376025,38462.420058376025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.622,1.59261122,1.60484608,1.60649582,1.60715663,1.60751453,1.60808459,1.6082855,1.60838788,1.60844979,37210.03673451453,37688.728379484215,37752.71696629749,37778.31100382543,37792.16415543068,37814.2166016279,37821.98496473418,37825.942831650784,37828.33594078184,478.69164496968733,542.6802317829643,568.274269310903,582.1274209161493,604.1798671133729,611.9482302196557,615.906097136256,618.2992062673147,63.988586813276925,89.5826243412157,103.43577594646194,125.48822214368556,133.25658524996834,137.21445216656866,139.6075612976274
14.892999999999999,1.57825932,1.59166007,1.59325093,1.59388407,1.59422595,1.59477218,1.59496406,1.595062,1.59512124,36639.05624837368,37172.514480431746,37235.24768317568,37260.17978208416,37273.63426746378,37295.11885515836,37302.66248131008,37306.51222334931,37308.84054932402,533.4582320580666,596.191434802,621.1235337104808,634.5780190900987,656.0626067846824,663.6062329363995,667.4559749756299,669.7843009503413,62.73320274393336,87.6653016524142,101.11978703203204,122.60437472661579,130.14800087833282,133.9977429175633,136.32606889227463
26.191,1.56193781,1.57786702,1.57949956,1.58014849,1.58050026,1.58106127,1.58125858,1.58135896,1.58141973,35976.96440935763,36623.30302080843,36688.8079411684,36714.808365889716,36728.893673196864,36751.34424107422,36759.23643051474,36763.25076755501,36765.68079746924,646.338611450803,711.8435318107731,737.8439565320878,751.9292638392362,774.3798317165929,782.2720211571141,786.2863581973797,788.7163881116139,65.50492035997013,91.50534508128476,105.59065238843323,128.0412202657899,135.93340970631107,139.94774674657674,142.37777666081092
37.489000000000004,1.54492748,1.56362607,1.56529951,1.56596564,1.56632557,1.56690194,1.56710414,1.56720747,1.56727007,35272.04267219067,36046.09061039766,36114.4628480718,36141.63845893834,36156.312636842165,36179.796931006415,36188.03151142209,36192.23879784085,36194.78741146381,774.0479382069898,842.4201758811323,869.5957867476682,884.2699646514957,907.7542588157448,915.9888392314169,920.1961256501818,922.744739273141,68.37223767414253,95.54784854067839,110.2220264445059,133.70632060875505,141.94090102442715,146.148187443192,148.69680106615124
48.788000000000004,1.5273409,1.54904521,1.55076513,1.5514497,1.55182072,1.55241317,1.55262078,1.55272712,1.55279147,34526.732047835554,35444.10495288256,35515.70249712798,35544.15589496714,35559.56644270093,35584.15895170484,35592.77237034017,35597.18336084708,35599.852309853304,917.3729050470065,988.9704492924284,1017.4238471315839,1032.8343948653783,1057.4269038692873,1066.0403225046175,1070.4513130115229,1073.12026201775,71.59754424542189,100.0509420845774,115.46148981837177,140.05399882228085,148.667417457611,153.07840796451637,155.74735697074357
60.086000000000006,1.5094604,1.53427228,1.5360409,1.5367465,1.53712804,1.53773854,1.53795348,1.53806329,1.53812971,33751.1603484265,34822.52055026373,34897.5668551534,34927.458757836765,34943.6108133191,34969.43895286647,34978.52743894439,34983.16964576926,34985.97722294825,1071.360201837233,1146.406506726904,1176.2984094102649,1192.4504648926013,1218.278604439969,1227.3670905178878,1232.00929734276,1234.816874521748,75.04630488967086,104.93820757303183,121.09026305536827,146.91840260273602,156.0068886806548,160.64909550552693,163.45667268451507
71.384,1.4913969,1.51930999,1.52112995,1.52185627,1.52224857,1.52287771,1.52309918,1.52321214,1.52328041,32948.767695574534,34180.647360845694,34259.397101477094,34290.77241308734,34307.706395152,34334.845573384875,34344.39377742952,34349.26273631196,34352.2050546163,1231.8796652711608,1310.6294059025604,1342.0047175128057,1358.9386995774694,1386.0778778103413,1395.6260818549854,1400.4950407374272,1403.4373590417672,78.74974063139962,110.12505224164488,127.0590343063086,154.19821253918053,163.7464165838246,168.6153754662664,171.55769377060642
82.682,1.47319312,1.50426527,1.50614038,1.506889,1.50729469,1.50794402,1.50817252,1.50828865,1.50835914,32120.236890598564,33522.363379432405,33605.12650221887,33638.111367194266,33655.97274146835,33684.54088899136,33694.58820268121,33699.69335776676,33702.79176350534,1402.126488833841,1484.8896116203032,1517.8744765957017,1535.735850869787,1564.3039983927956,1574.3513120826465,1579.4564671681946,1582.554872906774,82.76312278646219,115.74798776186071,133.6093620359461,162.17750955895463,172.22482324880548,177.32997833435365,180.4283840729331
93.98,1.45492072,1.48905494,1.49098505,1.49175853,1.49217694,1.49284764,1.49308408,1.49320477,1.49327782,31267.73258133268,32843.31067059218,32930.246349552595,32965.02216079167,32983.818929677334,33013.927663776856,33024.53536307212,33029.94873234968,33033.22485564007,1575.578089259503,1662.5137682199165,1697.2895794589895,1716.0863483446556,1746.1950824441774,1756.8027817394432,1762.2161510170008,1765.4922743073876,86.9356789604135,121.71149019948643,140.50825908515253,170.61699318467436,181.22469247994013,186.63806175749778,189.91418504788453
105.279,1.4365232,1.47370915,1.47570018,1.47649884,1.47693174,1.47762573,1.47787033,1.47799484,1.47807117,30387.479993361743,32144.005484392896,32235.557496509897,32272.21228294362,32292.063816029844,32323.863905645445,32335.06487676764,32340.76514096626,32344.259173934093,1756.5254910311523,1848.0775031481535,1884.732289581876,1904.5838226681008,1936.3839122837016,1947.584883405896,1953.285147604518,1956.77918057235,91.55201211700114,128.20679855072376,148.05833163694842,179.8584212525493,191.05939237474377,196.75965657336565,200.25368954119767
