Group No,Upper Energy (eV),Critical Flux,Inf. Med. Flux.,Critical Adj. Flux,Inf. Med. Adj. Flux,E_norm,E_Reverse,C_Reverse,Energy (MeV)
1,20000000.0,0.0,0.0,0.0007407999999999999,0.0007407999999999999,0.0,7.749800159872103e-09,1.939e-10,1e-10
2,17330000.0,1.1599999999999999e-07,1.1599999999999999e-07,0.0011330000000000001,0.0011330000000000001,4.636290967226219e-06,3.3904876099120696e-06,8.482999999999999e-08,5e-10
3,15680000.0,7.806e-07,7.806e-07,0.001523,0.001523,3.119904076738609e-05,4.0527577937649886e-05,1.0140000000000002e-06,7.5e-10
4,14550000.0,1.606e-06,1.606e-06,0.002222,0.002222,6.418864908073541e-05,9.916067146282973e-05,2.481e-06,1e-09
5,13840000.0,3.0739999999999997e-06,3.0739999999999997e-06,0.00146,0.00146,0.0001228617106314948,0.00018501199040767385,4.629e-06,1.1999999999999998e-09
6,12840000.0,1.605e-05,1.605e-05,0.0004315,0.0004315,0.0006414868105515587,0.00032074340527577937,8.025e-06,1.5e-09
7,10000000.0,6.385e-05,6.385e-05,0.0005344999999999999,0.0005344999999999999,0.002551958433253397,0.0006250999200639488,1.564e-05,2e-09
8,8187000.0,0.0002275,0.0002275,0.000495,0.000495,0.009092725819344524,0.0010647482014388488,2.664e-05,2.5e-09
9,6434000.0,0.0006236000000000001,0.0006236000000000001,0.00042060000000000003,0.00042060000000000003,0.024924060751398885,0.0015851318944844126,3.966e-05,3e-09
10,4800000.0,0.001008,0.001008,0.00114,0.00114,0.04028776978417266,0.0025331734612310153,6.338e-05,4e-09
11,4304000.0,0.001286,0.001286,0.000346,0.000346,0.05139888089528377,0.004148681055155875,0.0001038,5e-09
12,3000000.0,0.002151,0.002151,0.0006532,0.0006532,0.08597122302158273,0.007781774580335731,0.0001947,7.5e-09
13,2479000.0,0.002779,0.002779,0.002407,0.002407,0.11107114308553157,0.014816147082334133,0.0003707,1e-08
14,2354000.0,0.003368,0.003368,0.0005167999999999999,0.0005167999999999999,0.1346123101518785,0.05199840127897682,0.001301,2.5299999999999998e-08
15,1850000.0,0.003928,0.003928,0.0005937000000000001,0.0005937000000000001,0.15699440447641885,0.12597921662669864,0.003152,3e-08
16,1500000.0,0.004084,0.004084,0.001805,0.001805,0.16322941646682654,0.1856115107913669,0.004644,4e-08
17,1400000.0,0.0040479999999999995,0.0040479999999999995,0.003899,0.003899,0.16179056754596322,0.2789768185451639,0.00698,5e-08
18,1356000.0,0.004038,0.004038,0.004267,0.004267,0.16139088729016787,0.37517985611510796,0.009387000000000001,6e-08
19,1317000.0,0.004002,0.004002,0.002385,0.002385,0.15995203836930458,0.4712230215827338,0.01179,7e-08
20,1250000.0,0.004001,0.004001,0.00305,0.00305,0.15991207034372504,0.5635491606714628,0.0141,8e-08
21,1200000.0,0.0041,0.0041,0.001431,0.001431,0.16386890487609912,0.6514788169464427,0.0163,9e-08
22,1100000.0,0.004146,0.004146,0.001459,0.001459,0.1657074340527578,0.7274180655475619,0.0182,1e-07
23,1010000.0,0.0041,0.0041,0.001335,0.001335,0.16386890487609912,0.8269384492406074,0.02069,1.25e-07
24,920000.0,0.004070000000000001,0.004070000000000001,0.005667,0.005667,0.16266986410871306,0.9284572342126299,0.02323,1.5e-07
25,900000.0,0.004099,0.004099,0.004422,0.004422,0.16382893685051958,0.986810551558753,0.02469,1.75e-07
26,875000.0,0.004086,0.004086,0.007779,0.007779,0.16330935251798562,1.0,0.02502,2e-07
27,861100.0,0.004093,0.004093,0.002547,0.002547,0.16358912869704237,0.9788169464428458,0.02449,2.25e-07
28,820000.0,0.004109000000000001,0.004109000000000001,0.001396,0.001396,0.16422861710631498,0.9332533972821742,0.02335,2.5e-07
29,750000.0,0.004098,0.004098,0.001253,0.001253,0.16378896882494004,0.8733013589128698,0.02185,2.75e-07
30,679000.0,0.004064,0.004064,0.009339,0.009339,0.1624300559552358,0.8041566746602717,0.02012,3e-07
31,670000.0,0.0039700000000000004,0.0039700000000000004,0.001129,0.001129,0.15867306155075941,0.7322142286171063,0.01832,3.25e-07
32,600000.0,0.003924,0.003924,0.002707,0.002707,0.15683453237410072,0.6614708233413269,0.01655,3.5e-07
33,573000.0,0.0039380000000000005,0.0039380000000000005,0.003043,0.003043,0.15739408473221425,0.5939248601119105,0.01486,3.75e-07
34,550000.0,0.0038350000000000003,0.0038350000000000003,0.001119,0.001119,0.15327737809752198,0.5311750599520384,0.01329,4e-07
35,492000.0,0.003826,0.003826,0.002725,0.002725,0.15291766586730615,0.4504396482813749,0.01127,4.5e-07
36,470000.0,0.003703,0.003703,0.0018899999999999998,0.0018899999999999998,0.14800159872102317,0.36187050359712236,0.009054000000000001,5e-07
37,440000.0,0.0035299999999999997,0.0035299999999999997,0.00268,0.00268,0.14108713029576336,0.2942845723421263,0.007363,5.5e-07
38,420000.0,0.003517,0.003517,0.0025559999999999997,0.0025559999999999997,0.14056754596322943,0.24436450839328536,0.006114,6e-07
39,400000.0,0.003389,0.003389,0.0006482,0.0006482,0.13545163868904875,0.2158673061550759,0.0054009999999999996,6.249999999999999e-07
