Fuel,U-235,Xe-135,Efficiency,Poison Fraction
0.479438,0.120207,0.00200431,0.01,0.016673820992121925
0.509906,0.100816,0.0017387,0.02,0.01724627043326456
0.532403,0.0874569,0.00156609,0.03,0.017906991901153597
0.552729,0.0773136,0.00143054,0.04,0.018503083545456427
0.569149,0.0691775,0.00132814,0.05,0.019199017021430377
0.583138,0.0623083,0.00124118,0.06,0.019919978558233815
0.593912,0.0566792,0.00117652,0.07,0.020757526570593796
0.604052,0.0516828,0.0011201,0.08,0.021672587398515557
0.61272,0.0473575,0.00106982,0.09,0.022590297207411708
0.620016,0.043586,0.00102608,0.1,0.023541504152709586
