Fuel,U-235,Xe-135,Efficiency,Poison Fraction
0.520826,0.0942112,0.00325568,0.0,0.034557250093407155
0.519332,0.0945415,0.000627373,0.05,0.006635953523056012
0.519561,0.094482,0.000345246,0.1,0.003654092843081222
0.518651,0.0945495,0.000294064,0.12,0.0031101592287637696
0.519332,0.0945355,0.000239387,0.15,0.0025322445007431075
0.519373,0.0944663,0.000182426,0.2,0.0019311225272928016
0.518961,0.094475,9.39661e-05,0.4,0.0009946133897856574
0.519811,0.0943035,6.30924e-05,0.6,0.0006690356137364997
0.51879,0.0945133,4.77425e-05,0.8,0.0005051405463569678
0.518855,0.0945368,3.82553e-05,1.0,0.00040466040737575205
